2026-06-18 18:27:23 | INFO | TOOL START | load_data()
2026-06-18 18:27:23 | INFO | TOOL OK   | load_data -> {'status': 'loaded', 'path': '/data1/github_cschae/adk-agent-lab/03_data_statistics/data/sample_sensor.csv', 'row_count': 200, 'column_count': 7, 'columns': ['timestamp', 'equipment_id', 'recipe', ...
2026-06-18 18:27:23 | INFO | TOOL START | profile_data()
2026-06-18 18:27:23 | INFO | TOOL OK   | profile_data -> {'status': 'profiled', 'path': '/data1/github_cschae/adk-agent-lab/03_data_statistics/output/profile.json', 'row_count': 200, 'column_count': 7, 'numeric_columns': ['chamber_pressure', 'mfc_flow', ...
2026-06-18 18:27:23 | INFO | TOOL START | run_descriptive_stats(['chamber_pressure', 'mfc_flow', 'temperature', 'is_anomaly'])
2026-06-18 18:27:23 | INFO | TOOL OK   | run_descriptive_stats -> {'status': 'ok', 'columns': ['chamber_pressure', 'mfc_flow', 'temperature', 'is_anomaly'], 'statistics': {'chamber_pressure': {'count': 194.0, 'mean': 3.058680412371134, 'std': 0.8102524271979319, ...
2026-06-18 18:27:23 | INFO | TOOL START | run_correlation(['chamber_pressure', 'mfc_flow', 'temperature', 'is_anomaly'])
2026-06-18 18:27:23 | INFO | TOOL OK   | run_correlation -> {'status': 'ok', 'columns': ['chamber_pressure', 'mfc_flow', 'temperature', 'is_anomaly'], 'matrix': {'chamber_pressure': {'chamber_pressure': 1.0, 'mfc_flow': 0.1203, 'temperature': 0.9711, 'is_an...
2026-06-18 18:27:23 | INFO | TOOL START | run_groupby_stats('equipment_id', ['chamber_pressure', 'mfc_flow'], 'mean')
2026-06-18 18:27:23 | INFO | TOOL OK   | run_groupby_stats -> {'status': 'ok', 'group_by': 'equipment_id', 'value_columns': ['chamber_pressure', 'mfc_flow'], 'agg': 'mean', 'group_count': 2, 'data': [{'equipment_id': 'EQP-A01', 'chamber_pressure': 3.0751, 'mf...
2026-06-18 18:27:23 | INFO | TOOL START | run_categorical_summary(['equipment_id', 'recipe'])
2026-06-18 18:27:23 | INFO | TOOL OK   | run_categorical_summary -> {'status': 'ok', 'columns': ['equipment_id', 'recipe'], 'summaries': {'equipment_id': {'unique_count': 2, 'top_values': {'EQP-A01': 100, 'EQP-A02': 100}}, 'recipe': {'unique_count': 3, 'top_values'...
2026-06-18 18:27:23 | INFO | TOOL START | detect_outliers('chamber_pressure')
2026-06-18 18:27:23 | INFO | TOOL OK   | detect_outliers -> {'status': 'ok', 'column': 'chamber_pressure', 'method': 'iqr', 'q1': 2.4515000000000002, 'q3': 4.094, 'iqr': 1.6425, 'lower_bound': -0.012249999999999872, 'upper_bound': 6.55775, 'outlier_count': ...
2026-06-18 18:27:23 | INFO | TOOL START | generate_charts(['chamber_pressure', 'mfc_flow', 'temperature'])
2026-06-18 18:27:24 | INFO | TOOL OK   | generate_charts -> {'status': 'ok', 'charts': ['charts/hist_chamber_pressure.png', 'charts/hist_mfc_flow.png', 'charts/hist_temperature.png', 'charts/correlation_heatmap.png']}
2026-06-18 18:27:24 | INFO | TOOL START | save_analysis_report(title='샘플 센서 데이터 통계 분석 (Tool 테스트)', summary='Tool smoke test로 자동 생성된 리포트입니다.', findings=['행 수: 200, 열 수: 7', '수치형 컬럼: chamber_pressure, mfc_flow, temperature, is_anomaly', '분석 힌트: datetime_column_detected, correlation_analysis_available, groupby_analysis_available'])
